,선수명,연도,팀명,포지션,안타,2타,3타,홈런,볼넷,출루율
0,백인천,1982,MBC,DH,103,23,1,19,42,0.4970000000000001
1,이종도,1982,MBC,LF,93,15,1,11,32,0.395
2,이광은,1982,MBC,3B,76,16,3,5,12,0.35600000000000004
3,김용달,1982,MBC,3B,53,10,0,5,19,0.381
4,김인식,1982,MBC,2B,80,9,0,3,17,0.33399999999999996
5,유승안,1982,MBC,C,36,5,0,9,21,0.34299999999999997
6,신언호,1982,MBC,CF,55,14,1,3,22,0.314
7,김바위,1982,MBC,1B,32,4,0,4,19,0.402
8,김용운,1982,MBC,C,53,6,2,3,18,0.301
9,송영운,1982,MBC,RF,69,11,1,1,27,0.32899999999999996
10,최정기,1982,MBC,C,8,3,0,1,2,0.35700000000000004
11,김봉기,1982,MBC,LF,12,1,0,0,1,0.447
12,정영기,1982,MBC,SS,56,5,1,1,21,0.287
13,조호,1982,MBC,1B,11,2,0,0,6,0.349
14,배수희,1982,MBC,,5,0,1,0,1,0.25
15,최정우,1982,MBC,CF,12,0,0,0,7,0.302
16,박재천,1982,MBC,,3,0,1,0,1,0.182
17,김재박,1982,MBC,SS,0,0,0,0,0,0.0
18,윤동균,1982,OB,LF,97,20,5,8,45,0.428
19,김우열,1982,OB,CF,65,8,0,13,38,0.428
20,구천서,1982,OB,2B,82,11,5,3,35,0.405
21,신경식,1982,OB,1B,98,21,3,4,20,0.379
22,양세종,1982,OB,3B,81,13,1,7,27,0.32899999999999996
23,유지훤,1982,OB,SS,69,14,2,4,15,0.295
24,조범현,1982,OB,C,32,7,2,2,6,0.307
25,이홍범,1982,OB,CF,36,7,1,3,16,0.318
26,정혁진,1982,OB,RF,44,7,1,3,5,0.32899999999999996
27,김광수,1982,OB,SS,28,2,0,1,11,0.359
28,정종현,1982,OB,C,19,5,1,2,6,0.298
29,이근식,1982,OB,RF,57,9,1,1,11,0.322
30,박종호,1982,OB,,2,0,0,0,1,0.6
31,구재서,1982,OB,,1,0,0,0,0,0.33299999999999996
32,김진홍,1982,OB,C,1,0,0,0,0,0.2
33,김유동,1982,OB,DH,38,8,1,6,3,0.27
34,이근식,1982,OB,RF,5,1,0,0,1,0.214
35,김경문,1982,OB,C,23,4,0,0,7,0.266
36,김용철,1982,롯데,3B,76,13,0,10,41,0.40299999999999997
37,정학수,1982,롯데,SS,76,18,1,2,53,0.396
38,김정수,1982,롯데,1B,76,15,2,11,49,0.381
39,김용희,1982,롯데,3B,66,7,0,11,25,0.35700000000000004
40,김성관,1982,롯데,LF,75,15,1,7,18,0.336
41,박용성,1982,롯데,RF,49,6,1,11,17,0.35700000000000004
42,차동열,1982,롯데,C,52,8,0,2,19,0.319
43,김재상,1982,롯데,CF,14,1,1,0,5,0.345
44,최순하,1982,롯데,C,17,0,0,0,10,0.301
45,정문섭,1982,롯데,RF,23,3,0,4,14,0.28600000000000003
46,엄태섭,1982,롯데,CF,19,3,0,0,4,0.23199999999999998
47,김일환,1982,롯데,1B,44,5,1,0,21,0.325
48,이성득,1982,롯데,2B,22,1,0,0,12,0.264
49,권두조,1982,롯데,DH,59,15,1,0,36,0.32899999999999996
50,금광옥,1982,삼미,C,71,12,3,9,39,0.364
51,조흥운,1982,삼미,SS,85,16,4,4,24,0.33799999999999997
52,김호인,1982,삼미,CF,60,16,0,6,17,0.332
53,김경남,1982,삼미,2B,80,15,5,3,13,0.298
54,양승관,1982,삼미,RF,65,6,1,8,20,0.327
55,장정기,1982,삼미,1B,55,12,1,3,32,0.337
56,이철성,1982,삼미,RF,38,7,1,0,15,0.33299999999999996
57,송경섭,1982,삼미,3B,30,9,1,2,12,0.275
58,최영환,1982,삼미,C,17,2,2,2,7,0.23399999999999999
59,이춘근,1982,삼미,,0,0,0,0,0,0.0
60,박준영,1982,삼미,LF,9,2,0,0,4,0.289
61,이경수,1982,삼미,CF,11,3,1,0,2,0.226
62,문주모,1982,삼미,CF,1,0,0,0,1,0.133
63,김진철,1982,삼미,C,6,1,1,0,3,0.2
64,김구길,1982,삼미,3B,13,1,0,0,3,0.235
65,김무관,1982,삼미,1B,55,11,0,1,24,0.301
66,허운,1982,삼미,DH,38,4,0,2,4,0.251
67,이찬선,1982,삼미,,3,0,0,0,1,0.086
68,이만수,1982,삼성,C,78,16,1,13,46,0.39899999999999997
69,장태수,1982,삼성,RF,72,15,3,3,42,0.45399999999999996
70,오대석,1982,삼성,SS,73,15,1,4,37,0.374
71,허규옥,1982,삼성,LF,60,11,2,3,32,0.389
72,김한근,1982,삼성,3B,51,13,1,5,24,0.34700000000000003
73,박정환,1982,삼성,2B,36,6,1,5,9,0.368
74,정현발,1982,삼성,DH,42,9,1,5,28,0.40299999999999997
75,함학수,1982,삼성,1B,68,14,2,7,22,0.321
76,배대웅,1982,삼성,SS,54,9,0,5,25,0.304
77,손상득,1982,삼성,C,34,3,2,2,7,0.276
78,정구왕,1982,삼성,CF,41,1,2,0,6,0.325
79,천보성,1982,삼성,2B,24,6,0,0,10,0.34299999999999997
80,박찬,1982,삼성,LF,22,4,0,1,8,0.35700000000000004
81,손상대,1982,삼성,C,4,0,0,0,1,0.28600000000000003
82,서정환,1982,삼성,3B,25,1,1,2,5,0.237
83,김휘욱,1982,삼성,,10,1,1,1,1,0.16699999999999998
84,김봉연,1982,해태,DH,89,14,1,22,28,0.405
85,김일권,1982,해태,CF,76,12,1,11,42,0.368
86,김준환,1982,해태,RF,92,13,3,19,19,0.34700000000000003
87,김성한,1982,해태,1B,97,17,4,13,9,0.335
88,차영화,1982,해태,SS,73,9,1,1,31,0.337
89,김종모,1982,해태,LF,75,12,0,10,17,0.33299999999999996
90,김종윤,1982,해태,RF,41,8,2,1,19,0.32799999999999996
91,조충열,1982,해태,SS,62,8,0,2,20,0.29600000000000004
92,임정면,1982,해태,3B,16,4,1,1,12,0.337
93,박전섭,1982,해태,C,23,4,1,0,7,0.272
94,김우근,1982,해태,CF,27,5,0,4,13,0.275
95,홍순만,1982,해태,C,1,0,0,0,2,0.2
96,최영조,1982,해태,2B,5,0,0,0,5,0.27
97,김경훈,1982,해태,C,3,1,0,0,5,0.2
98,김용만,1982,해태,C,15,3,0,0,6,0.20199999999999999
99,김재박,1983,MBC,SS,108,22,2,5,42,0.373
100,이해창,1983,MBC,CF,114,21,4,8,41,0.3670000000000001
101,이종도,1983,MBC,LF,101,25,2,8,35,0.37
102,이광은,1983,MBC,3B,89,12,4,8,24,0.332
103,김인식,1983,MBC,3B,100,16,2,1,11,0.307
104,신언호,1983,MBC,RF,69,15,2,5,11,0.29600000000000004
105,유승안,1983,MBC,C,33,3,0,1,17,0.317
106,김정수,1983,MBC,1B,67,12,2,5,33,0.317
