,선수명,연도,팀명,이닝,삼진,출루율
0,차준섭,1982,MBC,35.1,24.0,0.355
1,하기룡,1982,MBC,191.2,107.0,0.292
2,이길환,1982,MBC,117.1,54.0,0.322
3,유종겸,1982,MBC,113.2,85.0,0.315
4,이광권,1982,MBC,116.0,57.0,0.333
5,정순명,1982,MBC,92.2,47.0,0.3670000000000001
6,박석채,1982,MBC,35.2,18.0,0.35
7,김시철,1982,MBC,5.2,0.0,0.44
8,박철순,1982,OB,224.2,108.0,0.259
9,선우대영,1982,OB,138.0,66.0,0.312
10,강철원,1982,OB,45.1,15.0,0.324
11,박상열,1982,OB,111.0,36.0,0.434
12,김현홍,1982,OB,29.2,10.0,0.389
13,황태환,1982,OB,86.1,42.0,0.34600000000000003
14,계형철,1982,OB,90.1,42.0,0.3670000000000001
15,노상수,1982,롯데,232.1,141.0,0.302
16,천창호,1982,롯데,173.2,92.0,0.325
17,김덕열,1982,롯데,60.1,27.0,0.34600000000000003
18,최옥규,1982,롯데,47.2,31.0,0.416
19,김문희,1982,롯데,91.2,18.0,0.361
20,이윤섭,1982,롯데,8.2,1.0,0.458
21,이진우,1982,롯데,82.0,50.0,0.398
22,방기만,1982,롯데,17.1,3.0,0.455
23,김경남,1982,삼미,3.0,1.0,0.5
24,김재현,1982,삼미,192.1,62.0,0.385
25,오문현,1982,삼미,120.0,22.0,0.363
26,감사용,1982,삼미,133.2,23.0,0.375
27,박경호,1982,삼미,22.2,5.0,0.425
28,김동철,1982,삼미,93.0,20.0,0.419
29,인호봉,1982,삼미,133.0,41.0,0.422
30,한상연,1982,삼미,4.0,2.0,0.34
31,황규봉,1982,삼성,222.1,99.0,0.268
32,송진호,1982,삼성,3.0,2.0,0.35700000000000004
33,성낙수,1982,삼성,125.0,56.0,0.299
34,이선희,1982,삼성,167.0,73.0,0.34
35,권영호,1982,삼성,178.2,72.0,0.28300000000000003
36,박영진,1982,삼성,8.1,3.0,0.488
37,김용남,1982,해태,175.0,85.0,0.314
38,방수원,1982,해태,154.1,63.0,0.335
39,김성한,1982,해태,106.1,49.0,0.321
40,강만식,1982,해태,144.0,87.0,0.365
41,이상윤,1982,해태,102.0,59.0,0.34600000000000003
42,신태중,1982,해태,26.1,7.0,0.45
43,하기룡,1983,MBC,173.2,73.0,0.28300000000000003
44,이길환,1983,MBC,208.1,84.0,0.305
45,유종겸,1983,MBC,139.0,74.0,0.28600000000000003
46,오영일,1983,MBC,173.0,70.0,0.311
47,이광권,1983,MBC,100.1,35.0,0.324
48,이원국,1983,MBC,38.2,6.0,0.374
49,신계석,1983,MBC,2.0,0.0,0.462
50,정순명,1983,MBC,59.2,19.0,0.349
51,박석채,1983,MBC,11.0,4.0,0.4
52,차준섭,1983,MBC,3.1,2.0,0.333
53,박철순,1983,OB,10.1,4.0,0.326
54,박상열,1983,OB,173.1,68.0,0.312
55,계형철,1983,OB,193.1,86.0,0.345
